,city,country,cloudiness,date,humidity,lat,lon,temp_max,wind_speed
295,qui nhon,,,,,,,,
296,la ronge,CA,36,1537551909,82,55.1,-105.3,36.46,6.2
297,marsa matruh,EG,0,1537549200,54,31.35,27.25,82.4,5.82
298,saint-georges,CA,92,1537551909,97,46.12,-70.67,55.63,11.56
299,pulaski,US,40,1537551000,55,35.2,-87.03,89.96,8.05
300,grand centre,,,,,,,,
301,larap,PH,76,1537551910,97,14.3,122.65,81.28,6.31
302,kharp,RU,92,1537551910,93,66.82,65.8,47.53,8.77
303,port macquarie,AU,0,1537549200,100,-31.43,152.91,44.6,3.36
304,lompoc,US,90,1537548960,83,34.64,-120.46,62.78,2.73
305,patitirion,GR,0,1537548600,69,39.15,23.87,73.4,10.45
306,hasaki,JP,75,1537549200,100,35.73,140.83,66.2,3.36
307,vanimo,PG,12,1537551416,100,-2.67,141.3,82.72,12.01
308,college,US,75,1537550940,96,64.86,-147.8,46.94,4.41
309,alyangula,AU,0,1537551911,100,-13.85,136.42,75.52,10
310,pemex,MX,8,1537551911,83,18.44,-96.35,85.6,3.85
311,moose factory,CA,90,1537547520,93,51.26,-80.61,50,11.41
312,adrar,DZ,0,1537549200,17,27.87,-0.29,100.4,19.46
313,xiongzhou,CN,44,1537549200,100,32.34,118.83,69.8,2.24
314,doctor arroyo,MX,0,1537551912,48,23.67,-100.18,79.75,3.85
315,poum,MK,0,1537549200,48,41.28,20.71,66.2,1.12
316,dukhovnitskoye,RU,0,1537551912,92,52.48,48.21,56.26,5.64
317,faya,SA,0,1537549200,15,18.39,42.45,77,11.41
318,garmsar,IR,0,1537551912,67,35.22,52.34,56.71,1.39
319,labutta,,,,,,,,
320,flinders,AU,0,1537549200,81,-34.58,150.85,42.8,3.96
321,hope mills,US,90,1537550340,60,34.97,-78.95,82.4,5.82
322,maumere,ID,0,1537551457,100,-8.63,122.22,79.39,6.42
323,san quintin,PH,32,1537551432,92,17.54,120.52,72.37,2.73
324,yuxia,CN,0,1537549200,72,34.06,108.63,60.8,4.47
325,sao joao da barra,BR,75,1537549200,78,-21.64,-41.05,77,8.05
326,champerico,MX,75,1537548120,69,16.38,-93.6,80.6,4.7
327,havelock,US,1,1537548960,66,34.88,-76.9,82.04,3.36
328,nokha,IN,0,1537551914,54,27.56,73.47,84.16,10.78
329,mahebourg,MU,20,1537549200,73,-20.41,57.7,73.4,10.29
330,zhezkazgan,KZ,68,1537551914,67,47.8,67.71,49.51,5.41
331,tahoua,NE,12,1537551914,57,14.89,5.26,83.08,3.18
332,santiago del estero,AR,0,1537551644,41,-27.8,-64.26,92.62,12.12
333,patiya,BD,40,1537549200,83,22.3,91.98,82.4,3.36
334,hofn,IS,90,1537549200,95,64.25,-15.21,46.4,24.16
335,qasigiannguit,GL,20,1537548600,50,68.82,-51.19,30.2,8.05
336,longyearbyen,NO,40,1537548600,55,78.22,15.63,33.8,19.46
337,olafsvik,,,,,,,,
338,tahe,CN,76,1537551458,83,52.34,124.71,48.43,10.78
339,willowmore,ZA,0,1537551915,84,-33.3,23.49,43.21,2.17
340,yankton,US,90,1537548960,68,42.87,-97.4,51.08,24.16
341,tawzar,,,,,,,,
342,znamenskoye,RU,20,1537551916,92,57.13,73.82,48.79,9.55
343,verkhnyaya inta,RU,92,1537551451,96,65.99,60.32,45.82,7.43
344,ketchikan,US,20,1537551180,76,55.34,-131.65,53.6,13.87
345,malino,RU,0,1537549200,68,55.11,38.18,64.4,4.47
346,les cayes,HT,12,1537551917,92,18.19,-73.75,84.88,19.28
347,winnemucca,US,1,1537548960,6,40.97,-117.74,66.02,8.05
348,rungata,,,,,,,,
349,den helder,NL,75,1537550700,67,52.96,4.76,57.2,29.97
350,huangnihe,CN,76,1537551917,92,43.56,128.02,43.03,2.62
351,el vigia,MX,20,1537548120,66,26.85,-109.72,84.2,5.82
352,butaritari,KI,44,1537551413,100,3.07,172.79,84.88,6.64
353,tomatlan,MX,80,1537551918,92,19.93,-105.25,80.02,1.5
354,buariki,,,,,,,,
355,kutum,SD,100,1537551438,21,14.2,24.66,88.3,11.01
356,tigil,RU,92,1537551527,98,57.8,158.67,45.01,4.18
357,shimoda,JP,88,1537551425,100,34.7,138.93,75.16,18.95
358,alnavar,IN,92,1537551918,97,15.43,74.74,69.76,9.33
359,kokopo,PG,12,1537551919,100,-4.34,152.27,78.31,6.98
360,revda,RU,80,1537551919,62,67.94,34.55,50.05,11.01
361,naze,NG,76,1537551419,98,5.43,7.07,72.82,3.29
362,kysyl-syr,RU,24,1537551919,95,63.9,122.77,34.21,3.74
363,swidnica,PL,0,1537551000,47,50.84,16.49,77,13.87
364,goderich,CA,92,1537551442,100,43.74,-81.71,70.57,28.57
365,mehamn,NO,40,1537548600,71,71.03,27.85,51.8,13.87
366,coari,BR,12,1537551920,62,-4.09,-63.14,89.92,3.96
367,evensk,RU,92,1537551510,100,61.92,159.24,47.53,6.76
368,khoy,IR,0,1537551920,90,38.55,44.95,55.18,2.73
369,east london,ZA,0,1537549200,71,-33.02,27.91,57.2,6.93
370,kalmunai,LK,24,1537551920,91,7.42,81.82,75.7,10.22
371,urucara,BR,0,1537551920,36,-2.54,-57.76,97.12,6.53
372,abalak,NE,20,1537551921,40,15.46,6.28,85.96,9.44
373,tabora,TZ,20,1537549200,34,-5.02,32.81,80.6,5.82
374,masterton,NZ,80,1537551921,90,-40.95,175.66,46.72,9.44
375,tual,ID,68,1537551453,97,-5.67,132.75,81.01,13.47
376,linxia,CN,92,1537551921,100,35.6,103.21,43.12,2.39
377,koratla,IN,64,1537551921,77,18.82,78.72,77.95,13.24
378,mys shmidta,,,,,,,,
379,rawson,AR,24,1537551429,36,-43.3,-65.11,64.36,18.28
380,samana,EC,75,1537549200,88,0.12,-76.97,75.2,5.82
381,marau,BR,20,1537549200,57,-28.45,-52.2,75.2,11.41
382,ilulissat,GL,20,1537548600,50,69.22,-51.1,30.2,8.05
383,acarau,,,,,,,,
384,dve mogili,BG,24,1537551000,82,43.59,25.87,64.4,5.41
385,petropavlovsk-kamchatskiy,RU,40,1537549200,100,53.05,158.65,44.6,8.95
386,sioux lookout,CA,90,1537548960,76,50.1,-91.92,48.2,16.11
387,itoman,JP,20,1537549200,78,26.12,127.67,82.4,1.12
388,meyungs,,,,,,,,
389,nanchang,CN,56,1537551923,83,28.68,115.89,74.17,6.53
390,north branch,US,90,1537551300,78,45.51,-92.98,53.6,12.75
391,swan hill,AU,48,1537551923,89,-35.34,143.56,46.9,2.84
392,gorontalo,ID,0,1537551924,86,0.54,123.06,71.65,3.62
393,sorvag,,,,,,,,
394,souillac,FR,0,1537549200,55,45.6,-0.6,66.2,10.29
395,lorengau,PG,0,1537551420,100,-2.02,147.27,82.27,9.1
396,baculin,PH,68,1537551924,99,7.45,126.58,76.87,0.94
397,codrington,AU,0,1537551416,92,-28.95,153.24,46.45,2.73
398,borgarnes,IS,40,1537549200,60,64.54,-21.92,41,19.46
399,belushya guba,,,,,,,,
400,san diego de los banos,CU,48,1537551955,75,22.65,-83.37,86.77,6.53
401,elbistan,TR,32,1537551955,79,38.2,37.19,52.3,2.17
402,half moon bay,US,1,1537550400,61,37.46,-122.43,75.02,4.7
403,shirokiy,RU,0,1537551955,84,53.87,39.17,56.53,2.73
404,naklo nad notecia,PL,0,1537551000,39,53.14,17.6,78.8,12.75
405,pelagiada,RU,0,1537549200,32,45.21,42.02,69.8,6.71
406,yirol,,,,,,,,
407,adre,TD,0,1537551446,51,13.47,22.2,79.84,6.64
408,vostok,RU,80,1537551956,45,46.45,135.83,49.06,4.74
409,moroni,US,0,1537551956,13,39.52,-111.59,68.86,2.95
410,yarega,RU,80,1537551956,96,63.43,53.58,49.96,5.19
411,dimbokro,CI,48,1537551957,76,6.65,-4.7,82.99,6.42
412,jalor,IN,24,1537551957,48,25.35,72.62,87.58,8.66
413,sorong,ID,24,1537551419,100,-0.86,131.25,80.2,12.8
